PerceptionValue,MaxSpeed,Layout,GroupsStart,GroupsX1,GroupsX2,GroupsEnd
0.5,1.5,20260908_013309_layout_00,3,4,4,7
0.5,1.5,20260908_013309_layout_01,4,3,2,5
0.5,1.5,20260908_013309_layout_02,8,6,6,12
0.5,1.5,20260908_013309_layout_03,3,3,4,7
0.5,1.5,20260908_013309_layout_04,5,3,3,8
0.5,1.5,20260908_013309_layout_05,4,2,2,8
0.5,1.5,20260908_013309_layout_06,4,4,7,9
0.5,1.5,20260908_013309_layout_07,3,3,5,11
0.5,1.5,20260908_013309_layout_08,2,1,1,4
0.5,1.5,20260908_013309_layout_09,7,4,4,9
0.5,1.5,20260908_013309_layout_10,6,4,4,10
0.5,1.5,20260908_013309_layout_11,6,5,5,7
0.5,1.5,20260908_013309_layout_12,3,5,5,10
0.5,1.5,20260908_013309_layout_13,5,4,4,11
0.5,1.5,20260908_013309_layout_14,5,4,4,8
0.5,1.5,20260908_013309_layout_15,4,4,4,12
0.5,1.5,20260908_013309_layout_16,3,1,1,8
0.5,1.5,20260908_013309_layout_17,3,3,3,7
0.5,1.5,20260908_013309_layout_18,2,1,1,4
0.5,1.5,20260908_013309_layout_19,3,7,7,12
0.5,1.5,20260908_013309_layout_20,4,4,6,11
0.5,1.5,20260908_013309_layout_21,6,6,6,11
0.5,1.5,20260908_013309_layout_22,7,4,4,7
0.5,1.5,20260908_013309_layout_23,6,4,4,8
0.5,1.5,20260908_013309_layout_24,7,7,7,14
0.5,1.5,20260908_013309_layout_25,4,3,5,11
0.5,1.5,20260908_013309_layout_26,5,4,4,7
0.5,1.5,20260908_013309_layout_27,5,3,4,7
0.5,1.5,20260908_013309_layout_28,5,2,4,8
0.5,1.5,20260908_013309_layout_29,3,3,3,9
0.5,1.5,20260908_013309_layout_30,4,4,4,9
0.5,1.5,20260908_013309_layout_31,8,8,7,11
0.5,1.5,20260908_013309_layout_32,5,3,4,9
0.5,1.5,20260908_013309_layout_33,6,6,6,10
0.5,1.5,20260908_013309_layout_34,4,3,4,6
0.5,1.5,20260908_013309_layout_35,3,2,3,7
0.5,1.5,20260908_013309_layout_36,5,8,7,7
0.5,1.5,20260908_013309_layout_37,4,4,4,7
0.5,1.5,20260908_013309_layout_38,7,7,6,9
0.5,1.5,20260908_013309_layout_39,2,3,3,10
0.5,3.0,20260908_013309_layout_00,7,6,8,26
0.5,3.0,20260908_013309_layout_01,6,18,18,14
0.5,3.0,20260908_013309_layout_02,11,14,15,18
0.5,3.0,20260908_013309_layout_03,5,11,13,19
0.5,3.0,20260908_013309_layout_04,5,8,10,21
0.5,3.0,20260908_013309_layout_05,6,12,12,19
0.5,3.0,20260908_013309_layout_06,4,15,14,12
0.5,3.0,20260908_013309_layout_07,8,15,15,16
0.5,3.0,20260908_013309_layout_08,2,10,10,17
0.5,3.0,20260908_013309_layout_09,10,15,13,19
0.5,3.0,20260908_013309_layout_10,10,14,14,19
0.5,3.0,20260908_013309_layout_11,5,15,15,20
