PerceptionValue,MaxSpeed,n,Groups_start,Groups_x1,Groups_x2,Groups_end,reached_x1,reached_x2
0.5,1.5,40,4.58,3.98,4.28,8.68,40,40
0.5,3.0,40,7.6,13.85,14.02,18.1,40,40
1.0,1.5,40,5.85,5.85,5.88,7.3,40,40
1.0,3.0,40,6.22,6.62,6.75,9.45,40,40
1.5,1.5,40,3.52,3.5,3.4,3.75,40,40
1.5,3.0,40,3.22,3.32,3.38,6.28,40,40
1.8,1.5,40,3.22,2.58,2.7,3.0,40,40
1.8,3.0,40,2.82,2.62,2.65,5.3,40,40
2.0,1.5,40,3.3,2.17,2.17,2.5,40,40
2.0,3.0,40,2.9,2.42,2.5,4.92,40,40
2.5,1.5,40,3.12,1.95,1.95,2.08,40,40
2.5,3.0,40,2.58,2.22,2.3,3.18,40,40
3.0,1.5,40,2.95,1.58,1.58,1.68,40,40
3.0,3.0,40,2.4,2.05,2.12,1.98,40,40
3.5,1.5,40,2.82,1.55,1.48,1.6,40,40
3.5,3.0,40,2.2,1.55,1.55,1.42,40,40
4.0,1.5,40,2.65,1.15,1.18,1.23,40,40
4.0,3.0,40,1.88,1.23,1.18,1.12,40,40
